source,legend,value,target
Archery,AR,0.039620059,Argentina (AR)
Archery,AU,0.101348075,Australia (AU)
Archery,BR,0.030810652,Brazil (BR)
Archery,CA,0.060785638,Canada (CA)
Archery,CH,0.048281817,Switzerland (CH)
Archery,CO,0.057288203,Colombia (CO)
Archery,DE,0.143100122,Germany (DE)
Archery,DK,0.045432355,Denmark (DK)
Archery,ES,0.045428614,Spain (ES)
Archery,FR,0.159360188,France (FR)
Archery,GB,0.054207321,Great Britain (GB)
Archery,HR,0.031609286,Croatia (HR)
Archery,HU,0.032713146,Hungary (HU)
Archery,IR,0.693135746,Iran (IR)
Archery,IT,0.220605482,Italy (IT)
Archery,JP,0.029204186,Japan (JP)
Archery,KR,1.523165316,South Korea (KR)
Archery,NL,0.503927794,Netherlands (NL)
Archery,NZ,0.071879031,New Zealand (NZ)
Archery,RU,0.058653333,Russia (RU)
Archery,SE,0.036479834,Sweden (SE)
Archery,UA,0.008960388,Ukraine (UA)
Archery,US,0.068596029,United States (US)
Archery,ZA,0.037983395,South Africa (ZA)
Artistic gymnastics,AR,1.820222409,Argentina (AR)
Artistic gymnastics,AU,3.677919282,Australia (AU)
Artistic gymnastics,BR,7.272752737,Brazil (BR)
Artistic gymnastics,CA,4.983583246,Canada (CA)
Artistic gymnastics,CH,6.668305954,Switzerland (CH)
Artistic gymnastics,CO,2.933521665,Colombia (CO)
Artistic gymnastics,DE,3.72163985,Germany (DE)
Artistic gymnastics,DK,3.063879291,Denmark (DK)
Artistic gymnastics,ES,4.662385836,Spain (ES)
Artistic gymnastics,FR,3.188942185,France (FR)
Artistic gymnastics,GB,6.098969596,Great Britain (GB)
Artistic gymnastics,GR,4.109353416,Greece (GR)
Artistic gymnastics,HR,3.591953782,Croatia (HR)
Artistic gymnastics,HU,1.987828333,Hungary (HU)
Artistic gymnastics,IR,0.400925798,Iran (IR)
Artistic gymnastics,IT,7.32235585,Italy (IT)
Artistic gymnastics,JM,9.792398519,Jamaica (JM)
Artistic gymnastics,JP,5.512574009,Japan (JP)
Artistic gymnastics,KZ,1.018394925,Kazakhstan (KZ)
Artistic gymnastics,KE,1.439595992,Kenya (KE)
Artistic gymnastics,KR,0.475836764,South Korea (KR)
Artistic gymnastics,NL,12.435095,Netherlands (NL)
Artistic gymnastics,NZ,4.443131785,New Zealand (NZ)
Artistic gymnastics,RU,2.053866832,Russia (RU)
Artistic gymnastics,SE,2.671604901,Sweden (SE)
Artistic gymnastics,UA,0.986980325,Ukraine (UA)
Artistic gymnastics,US,12.22712001,United States (US)
Artistic gymnastics,UZ,2.723395742,Uzbekistan (UZ)
Artistic gymnastics,ZA,2.460023156,South Africa (ZA)
Athletics (Track & Field),AR,5.799814277,Argentina (AR)
Athletics (Track & Field),AU,13.0582912,Australia (AU)
Athletics (Track & Field),BR,3.962652928,Brazil (BR)
Athletics (Track & Field),CA,15.84984519,Canada (CA)
Athletics (Track & Field),CH,5.376964995,Switzerland (CH)
Athletics (Track & Field),CO,12.18241573,Colombia (CO)
Athletics (Track & Field),CU,24.26809817,Cuba (CU)
Athletics (Track & Field),DE,4.170465505,Germany (DE)
Athletics (Track & Field),DK,6.177794077,Denmark (DK)
Athletics (Track & Field),ES,7.313751414,Spain (ES)
Athletics (Track & Field),FR,8.297412548,France (FR)
Athletics (Track & Field),GB,13.97232075,Great Britain (GB)
Athletics (Track & Field),GR,8.131221357,Greece (GR)
Athletics (Track & Field),HR,8.849869523,Croatia (HR)
Athletics (Track & Field),HU,5.031784158,Hungary (HU)
Athletics (Track & Field),IR,4.329228967,Iran (IR)
Athletics (Track & Field),IT,4.988591504,Italy (IT)
Athletics (Track & Field),JM,100,Jamaica (JM)
Athletics (Track & Field),JP,2.982667417,Japan (JP)
Athletics (Track & Field),KZ,2.768093573,Kazakhstan (KZ)
Athletics (Track & Field),KE,15.15329685,Kenya (KE)
Athletics (Track & Field),KR,1.716467982,South Korea (KR)
Athletics (Track & Field),NL,10.97436726,Netherlands (NL)
Athletics (Track & Field),NZ,14.74427695,New Zealand (NZ)
Athletics (Track & Field),RU,1.780401555,Russia (RU)
Athletics (Track & Field),SE,5.91348075,Sweden (SE)
Athletics (Track & Field),UA,0.866125243,Ukraine (UA)
Athletics (Track & Field),US,9.063935128,United States (US)
Athletics (Track & Field),UZ,1.73692218,Uzbekistan (UZ)
Athletics (Track & Field),ZA,23.20146123,South Africa (ZA)
Badminton,AR,0.01207996,Argentina (AR)
Badminton,AU,0.831158732,Australia (AU)
Badminton,BR,0.042777406,Brazil (BR)
Badminton,CA,0.577179974,Canada (CA)
Badminton,CH,0.265403331,Switzerland (CH)
Badminton,CO,0.01633354,Colombia (CO)
Badminton,DE,0.186198266,Germany (DE)
Badminton,DK,4.07511084,Denmark (DK)
Badminton,ES,2.932689133,Spain (ES)
Badminton,FR,0.188720127,France (FR)
Badminton,GB,0.548030605,Great Britain (GB)
Badminton,HU,0.389245092,Hungary (HU)
Badminton,IR,0.024369094,Iran (IR)
Badminton,IT,0.037682018,Italy (IT)
Badminton,JP,2.078830785,Japan (JP)
Badminton,KE,0.233594645,Kenya (KE)
Badminton,KR,1.008797958,South Korea (KR)
Badminton,NL,0.277351438,Netherlands (NL)
Badminton,NZ,0.558598657,New Zealand (NZ)
Badminton,RU,0.01942773,Russia (RU)
Badminton,SE,0.20953483,Sweden (SE)
Badminton,US,0.592784837,United States (US)
Badminton,ZA,0.102839654,South Africa (ZA)
Basketball,AR,5.100289048,Argentina (AR)
Basketball,AU,4.432796763,Australia (AU)
Basketball,BR,0.93296492,Brazil (BR)
Basketball,CA,1.486024344,Canada (CA)
Basketball,CH,0.836038763,Switzerland (CH)
Basketball,CO,0.396009176,Colombia (CO)
Basketball,DE,0.431341074,Germany (DE)
Basketball,DK,0.680655229,Denmark (DK)
Basketball,ES,5.903667414,Spain (ES)
Basketball,FR,2.626162811,France (FR)
Basketball,GB,0.43773973,Great Britain (GB)
Basketball,GR,2.278294053,Greece (GR)
Basketball,HR,5.562427843,Croatia (HR)
Basketball,HU,0.46115838,Hungary (HU)
Basketball,IR,0.153993306,Iran (IR)
Basketball,IT,1.745767913,Italy (IT)
Basketball,JM,1.035282603,Jamaica (JM)
Basketball,JP,0.311189934,Japan (JP)
Basketball,KZ,0.068108145,Kazakhstan (KZ)
Basketball,KE,0.183266237,Kenya (KE)
Basketball,KR,0.225683373,South Korea (KR)
Basketball,NL,0.470725056,Netherlands (NL)
Basketball,NZ,1.030450902,New Zealand (NZ)
